run_id,workflow_name,workflow_file,event,branch,conclusion,created_at,updated_at,wall_seconds,first_failure_seconds,time_to_signal_seconds,skipped,total_jobs,failed_jobs,skipped_jobs,successful_jobs,build_max_duration_seconds,build_max_queue_seconds,build_total_queue_seconds,test_max_duration_seconds,test_max_queue_seconds,test_total_queue_seconds,pytorch_max_duration_seconds,python_max_duration_seconds,longest_job_name,longest_job_seconds,longest_queue_job_name,longest_queue_seconds,html_url
22110717638,CI,.github/workflows/ci.yml,push,main,failure,2026-02-17T18:29:58Z,2026-02-19T09:17:47Z,139669.0,4938.0,4938.0,False,141,7,19,115,12848.0,451.0,1290.0,6840.0,95479.0,2525547.0,2489.0,747.0,Windows::gfx120X-all::release / Build Artifacts / Build release (xfail false),12848.0,Linux::gfx950-dcgpu::release / Test Artifacts / Test rocwmma / Test rocwmma (shard 1/1) (gfx950-dcgp,95479.0,https://github.com/ROCm/TheRock/actions/runs/22110717638
22115518103,CI,.github/workflows/ci.yml,push,main,failure,2026-02-17T21:00:36Z,2026-02-20T14:26:47Z,235571.0,5362.0,5362.0,False,202,43,19,140,16631.0,1033.0,3281.0,144471.0,144471.0,5007973.0,2392.0,814.0,Linux::gfx950-dcgpu::release / Test Artifacts / Test hipblaslt / Test hipblaslt (shard 2/6) (gfx950-,144471.0,Linux::gfx950-dcgpu::release / Test Artifacts / Test miopen_plugin / Test miopen_plugin (shard 1/1) ,144471.0,https://github.com/ROCm/TheRock/actions/runs/22115518103
22116789814,CI,.github/workflows/ci.yml,push,main,failure,2026-02-17T21:41:23Z,2026-02-20T17:28:37Z,244034.0,6602.0,6602.0,False,141,27,19,95,10382.0,1333.0,4105.0,86400.0,103406.0,2569549.0,1880.0,745.0,Linux::gfx950-dcgpu::release / Test Artifacts / Test hipblaslt_plugin / Test hipblaslt_plugin (shard,86400.0,Linux::gfx950-dcgpu::release / Test Artifacts / Test Sanity Check / Sanity ROCM Test (gfx950-dcgpu),103406.0,https://github.com/ROCm/TheRock/actions/runs/22116789814
22118357144,CI,.github/workflows/ci.yml,push,main,failure,2026-02-17T22:32:20Z,2026-02-20T21:46:12Z,256432.0,8671.0,8671.0,False,141,7,19,115,15736.0,340.0,755.0,2327.0,147384.0,4086588.0,1844.0,865.0,Windows::gfx110X-all::release / Build Artifacts / Build release (xfail false),15736.0,Linux::gfx950-dcgpu::release / Test Artifacts / Test hiprand / Test hiprand (shard 1/1) (gfx950-dcgp,147384.0,https://github.com/ROCm/TheRock/actions/runs/22118357144
22121151434,CI,.github/workflows/ci.yml,push,main,cancelled,2026-02-18T00:18:49Z,2026-02-21T00:51:49Z,261180.0,218054.0,218054.0,False,141,5,19,117,13201.0,44.0,344.0,114178.0,157177.0,2356060.0,2475.0,742.0,Linux::gfx950-dcgpu::release / Test Artifacts / Test hiprand / Test hiprand (shard 1/1) (gfx950-dcgp,114178.0,Linux::gfx950-dcgpu::release / Test Artifacts / Test hipblaslt_plugin / Test hipblaslt_plugin (shard,157177.0,https://github.com/ROCm/TheRock/actions/runs/22121151434
22129707087,CI,.github/workflows/ci.yml,push,main,failure,2026-02-18T06:48:49Z,2026-02-21T01:51:12Z,241343.0,6418.0,6418.0,False,141,5,19,117,12411.0,182.0,506.0,2464.0,134991.0,1604920.0,1748.0,734.0,Windows::gfx120X-all::release / Build Artifacts / Build release (xfail false),12411.0,Linux::gfx950-dcgpu::release / Test Artifacts / Test Sanity Check / Sanity ROCM Test (gfx950-dcgpu),134991.0,https://github.com/ROCm/TheRock/actions/runs/22129707087
22146348866,CI,.github/workflows/ci.yml,push,main,failure,2026-02-18T15:38:05Z,2026-02-21T02:37:28Z,212363.0,4739.0,4739.0,False,141,5,19,117,12088.0,768.0,1383.0,3149.0,142649.0,1494342.0,3049.0,844.0,Windows::gfx110X-all::release / Build Artifacts / Build release (xfail false),12088.0,Linux::gfx950-dcgpu::release / Test Artifacts / Test Sanity Check / Sanity ROCM Test (gfx950-dcgpu),142649.0,https://github.com/ROCm/TheRock/actions/runs/22146348866
22148445744,CI,.github/workflows/ci.yml,push,main,failure,2026-02-18T16:34:28Z,2026-02-20T21:00:56Z,188788.0,6503.0,6503.0,False,141,4,19,118,12941.0,744.0,2409.0,2006.0,125909.0,3832689.0,2454.0,706.0,Windows::gfx120X-all::release / Build Artifacts / Build release (xfail false),12941.0,Linux::gfx950-dcgpu::release / Test Artifacts / Test rocsparse / Test rocsparse (shard 1/1) (gfx950-,125909.0,https://github.com/ROCm/TheRock/actions/runs/22148445744
22149866309,CI,.github/workflows/ci.yml,push,main,cancelled,2026-02-18T17:13:36Z,2026-02-21T06:14:35Z,219659.0,8960.0,8960.0,False,166,4,21,141,10582.0,291.0,870.0,21615.0,148408.0,1584490.0,2472.0,835.0,Windows::gfx1151::release / Test Artifacts / Configure test matrix (gfx1151),21615.0,Linux::gfx950-dcgpu::release / Test Artifacts / Test Sanity Check / Sanity ROCM Test (gfx950-dcgpu),148408.0,https://github.com/ROCm/TheRock/actions/runs/22149866309
22150302191,CI,.github/workflows/ci.yml,push,main,failure,2026-02-18T17:26:12Z,2026-02-20T23:49:17Z,195785.0,83747.0,83747.0,False,143,4,19,120,16786.0,275.0,952.0,2097.0,126240.0,4491876.0,2723.0,730.0,Windows::gfx120X-all::release / Build Artifacts / Build release (xfail false),16786.0,Linux::gfx950-dcgpu::release / Test Artifacts / Test libhipcxx_hiprtc / Test libhipcxx_hiprtc (shard,126240.0,https://github.com/ROCm/TheRock/actions/runs/22150302191
