run_id,run_created_at,job_name,category,platform,variant,conclusion,created_at,started_at,completed_at,queue_seconds,duration_seconds,runner_labels
23306368992,2026-03-19T16:51:08Z,setup / setup,other,,,success,2026-03-19T16:51:09Z,2026-03-19T16:51:49Z,2026-03-19T16:51:56Z,40.0,7.0,ubuntu-24.04
23306368992,2026-03-19T16:51:08Z,CI Summary,summary,,,success,2026-03-19T16:51:57Z,2026-03-19T16:53:01Z,2026-03-19T16:53:06Z,64.0,5.0,ubuntu-24.04
23294194159,2026-03-19T12:10:40Z,setup / setup,other,,,success,2026-03-19T12:10:41Z,2026-03-19T12:11:36Z,2026-03-19T12:11:40Z,55.0,4.0,ubuntu-24.04
23294194159,2026-03-19T12:10:40Z,Linux::gfx94X-dcgpu::release / Build Artifacts / Build (xfail false),build,Linux,gfx94X-dcgpu,success,2026-03-19T12:11:41Z,2026-03-19T12:12:50Z,2026-03-19T14:26:26Z,69.0,8016.0,azure-linux-scale-rocm
23294194159,2026-03-19T12:10:40Z,Linux::gfx1151::release / Build Artifacts / Build (xfail false),build,Linux,gfx1151,success,2026-03-19T12:11:41Z,2026-03-19T12:13:01Z,2026-03-19T14:25:31Z,80.0,7950.0,azure-linux-scale-rocm
23294194159,2026-03-19T12:10:40Z,Windows::gfx1151::release / Build Artifacts / Build release (xfail false),build,Windows,gfx1151,success,2026-03-19T12:11:41Z,2026-03-19T12:16:42Z,2026-03-19T15:24:43Z,301.0,11281.0,azure-windows-scale-rocm
23294194159,2026-03-19T12:10:40Z,Linux::gfx120X-all::release / Build Artifacts / Build (xfail false),build,Linux,gfx120X-all,success,2026-03-19T12:11:41Z,2026-03-19T12:13:03Z,2026-03-19T13:30:32Z,82.0,4649.0,azure-linux-scale-rocm
23294194159,2026-03-19T12:10:40Z,Windows::gfx110X-all::release / Build Artifacts / Build release (xfail false),build,Windows,gfx110X-all,success,2026-03-19T12:11:41Z,2026-03-19T12:13:40Z,2026-03-19T15:42:30Z,119.0,12530.0,azure-windows-scale-rocm
23294194159,2026-03-19T12:10:40Z,Windows::gfx120X-all::release / Build Artifacts / Build release (xfail false),build,Windows,gfx120X-all,success,2026-03-19T12:11:41Z,2026-03-19T12:13:46Z,2026-03-19T16:36:47Z,125.0,15781.0,azure-windows-scale-rocm
23294194159,2026-03-19T12:10:40Z,Linux::gfx950-dcgpu::release / Build Artifacts / Build (xfail false),build,Linux,gfx950-dcgpu,success,2026-03-19T12:11:41Z,2026-03-19T12:13:03Z,2026-03-19T15:48:51Z,82.0,12948.0,azure-linux-scale-rocm
